peak_name,peak_link,elevation_ft,elevation_m,prominence_ft,prominence_m,isolation_mi,isolation_km,date_climbed,trip_report_link,location,list,ULTRA,P3K,P2K,P1K,STHP,STPP,STIP,STEP,LCL,NE67,ADK46,SE40,NYFT,EAP2K,VT35,CT35,BEL12,OSS10,NHFT,NEK20,LG12,SARN6,FUL3,TUP3
Hoosier Hill,https://peakbagger.com/peak.aspx?pid=6535,1257,383,297,91,46.7,75.1,2024-08-15,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#hoosier,IN,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Davis,https://peakbagger.com/peak.aspx?pid=7351,3213,979,653,199,25,40.2,2024-08-14,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#davis,PA,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Richland Hill,https://peakbagger.com/peak.aspx?pid=6526,1510,460,590,180,62.6,100.7,2024-08-14,../../../trip_reports/long_covid_reports/2024_08_15-19_midwestern_highpoints.html#richland,OH,LCL,,,,,,,,,y,,,,,,,,,,,,,,,
Hoye Crest,https://peakbagger.com/peak.aspx?pid=7354,3360,1024,80,24,1.2,2,2024-08-14,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#hoye_crest,MD,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Cape Henlopen,https://peakbagger.com/peak.aspx?pid=23504,70,21,60,18,29.9,48.1,2024-08-13,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#cape_henlopen,DE,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
Wicomico Hill,https://peakbagger.com/peak.aspx?pid=7192,90,27,44,13,50,80.5,2024-08-13,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#wicomico,MD,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
High Point,https://peakbagger.com/peak.aspx?pid=7553,1803,550,901,275,23.7,38.2,2024-08-12,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#high_point,NJ,LCL,,,,,y,y,y,y,y,,,,,,,,,,,,,,,
Iron Hill,https://peakbagger.com/peak.aspx?pid=7164,340,104,200,61,5.6,9,2024-08-12,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#iron,DE,LCL,,,,,,y,,y,y,,,,,,,,,,,,,,,
Ebright Azimuth,https://peakbagger.com/peak.aspx?pid=7156,450,137,40,12,0.7,1.2,2024-08-12,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#ebright,DE,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Frissell,https://peakbagger.com/peak.aspx?pid=7082,2452,747,791,241,4.2,6.7,2024-08-11,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#frissell,MA,LCL,,,,,,,,,y,,,,,,,,,,,,,,,
