peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
Galehead,https://www.peakbagger.com/peak.aspx?pid=6921,4024,264,0.9,2022-05-29,,NH,NE115
Wright Peak,https://www.peakbagger.com/peak.aspx?pid=6021,4587,256,0.7,2022-06-11,,NY,NE115
Willey,https://www.peakbagger.com/peak.aspx?pid=6931,4255,255,1.7,2022-08-20,,NH,NE115
Monroe,https://www.peakbagger.com/peak.aspx?pid=6963,5372,254,1.1,2022-07-10,,NH,NE115
North Kinsman,https://www.peakbagger.com/peak.aspx?pid=6898,4293,253,1.1,2022-08-06,,NH,NE115
Couchsachraga,https://www.peakbagger.com/peak.aspx?pid=6007,3793,249,1.2,2022-07-31,,NY,NE115
Redfield,https://www.peakbagger.com/peak.aspx?pid=6055,4606,243,1.2,2022-07-16,,NY,NE115
Middle Tripyramid,https://www.peakbagger.com/peak.aspx?pid=6997,4120,240,1,2022-06-25,,NH,NE115
Pierce,https://www.peakbagger.com/peak.aspx?pid=6966,4310,230,1.5,2022-07-10,,NH,NE115
South Carter,https://www.peakbagger.com/peak.aspx?pid=6978,4420,220,1.2,2022-09-01,,NH,NE115
Isolation,https://www.peakbagger.com/peak.aspx?pid=6971,4003,203,1.5,2022-08-14,,NH,NE115
Zealand,https://www.peakbagger.com/peak.aspx?pid=6922,4240,200,0.9,2022-07-03,,NH,NE115
Phelps,https://www.peakbagger.com/peak.aspx?pid=6039,4160,190,1.3,2022-06-10,,NY,NE115
Bondcliffs,https://www.peakbagger.com/peak.aspx?pid=6926,4265,185,1.2,2022-09-15,,NH,NE115
Lincoln,https://www.peakbagger.com/peak.aspx?pid=6911,5089,169,1.2,2022-05-29,,NH,NE115
South Dix,https://www.peakbagger.com/peak.aspx?pid=6091,4068,164,1.2,2022-08-26,,NY,NE115
Dial,https://www.peakbagger.com/peak.aspx?pid=6078,4003,164,0.9,2022-06-08,,NY,NE115
West Bond,https://www.peakbagger.com/peak.aspx?pid=6925,4520,160,0.6,2022-07-03,,NH,NE115
South Hancock,https://www.peakbagger.com/peak.aspx?pid=6943,4319,159,1.2,2022-05-27,,NH,NE115
Iroquois,https://www.peakbagger.com/peak.aspx?pid=6024,4843,151,0.9,2022-06-11,,NY,NE115
Donaldson,https://www.peakbagger.com/peak.aspx?pid=6003,4108,138,0.7,2022-06-13,,NY,NE115
Gray,https://www.peakbagger.com/peak.aspx?pid=6049,4826,102,0.5,2022-07-16,,NY,NE115
Emmons,https://www.peakbagger.com/peak.aspx?pid=6004,4039,102,0.9,2022-06-13,,NY,NE115
Armstrong,https://www.peakbagger.com/peak.aspx?pid=6069,4429,98,0.7,2022-06-07,,NY,NE115
Nye,https://www.peakbagger.com/peak.aspx?pid=6012,3839,66,0.1,2022-06-14,,NY,NE115
