peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
West Wildcat Top,https://www.peakbagger.com/peak.aspx?pid=18599,4280,1360,6.4,2023-06-16,,NC/TN,main
Le Conte,https://www.peakbagger.com/peak.aspx?pid=7782,6593,1360,11.5,2023-06-09,,TN,main
Clarks Knob,https://www.peakbagger.com/peak.aspx?pid=7566,2320,1340,19.4,2023-07-05,,PA,main
Glade,https://www.peakbagger.com/peak.aspx?pid=7794,4093,1333,9.9,2023-06-20,,VA,main
Chunky Gal,https://www.peakbagger.com/peak.aspx?pid=18496,5010,1331,9.8,2023-04-07,,NC,main
Teyahalee Bald,https://www.peakbagger.com/peak.aspx?pid=26490,4716,1316,11.5,2023-06-04,,NC,main
Potato Hill,https://www.peakbagger.com/peak.aspx?pid=34113,3306,1306,4.4,2023-06-11,,NC,main
Elk Hill,https://www.peakbagger.com/peak.aspx?pid=7252,2680,1280,63.9,2023-07-06,,PA,main
Three Top,https://www.peakbagger.com/peak.aspx?pid=18500,5000,1269,3.9,2023-03-30,,NC,main
Red Spruce Knob,https://www.peakbagger.com/peak.aspx?pid=7384,4703,1223,15.8,2023-07-03,,WV,main
Junita Shade,https://www.peakbagger.com/peak.aspx?pid=7577,2228,1208,21.1,2023-07-05,,PA,main
Devils Knob,https://www.peakbagger.com/peak.aspx?pid=32065,3851,1206,6.8,2023-06-24,,VA,main
Butler Knob,https://www.peakbagger.com/peak.aspx?pid=62525,2320,1200,14.9,2023-07-05,,PA,main
Hightop,https://www.peakbagger.com/peak.aspx?pid=7671,3587,1187,8.2,2023-06-28,,VA,main
Coxcomb,https://www.peakbagger.com/peak.aspx?pid=18548,5443,1163,3.6,2023-05-14,,NC,main
Tatum,https://www.peakbagger.com/peak.aspx?pid=36004,2920,1160,6.6,2023-06-02,,GA,main
Hogback,https://www.peakbagger.com/peak.aspx?pid=7651,3474,1154,13,2023-06-29,,VA,main
Big Bald,https://www.peakbagger.com/peak.aspx?pid=26090,5307,1147,7.4,2023-05-21,,NC,main
Springer,https://www.peakbagger.com/peak.aspx?pid=7740,3782,1142,17.2,2023-06-03,,GA,main
Sand,https://www.peakbagger.com/peak.aspx?pid=32153,3721,1121,15,2023-06-21,,VA,main
Sugar,https://www.peakbagger.com/peak.aspx?pid=7706,5240,1120,5.1,2023-03-27,,NC,main
Big Flat,https://www.peakbagger.com/peak.aspx?pid=7674,3389,1109,14,2023-06-28,,VA,main
Gregory Bald,https://www.peakbagger.com/peak.aspx?pid=7756,4949,1107,11.6,2023-06-10,,NC/TN,main
Thunderhead,https://www.peakbagger.com/peak.aspx?pid=7754,5527,1087,12.7,2023-06-07,,NC/TN,main
Stratton Bald,https://www.peakbagger.com/peak.aspx?pid=18541,5360,1040,5.5,2023-06-05,,NC,main
Whitetop,https://www.peakbagger.com/peak.aspx?pid=7798,5520,1040,5.4,2023-05-05,,VA,main
Siler Bald,https://www.peakbagger.com/peak.aspx?pid=18525,5200,1040,3.4,2023-04-21,,NC,main
Elk Knob,https://www.peakbagger.com/peak.aspx?pid=18539,5520,1034,2.8,2023-03-30,,NC,main
Hanging Rock,https://www.peakbagger.com/peak.aspx?pid=18529,5221,1021,4.2,2023-03-29,,NC,main
Copper Ridge Bald,https://www.peakbagger.com/peak.aspx?pid=18533,5256,1020,6.2,2023-04-21,,NC,main
High Top,https://www.peakbagger.com/peak.aspx?pid=39187,3640,1000,10.9,2023-07-02,,VA/WV,main
Craggy Dome,https://www.peakbagger.com/peak.aspx?pid=7828,6080,1000,5.5,2023-05-09,,NC,main
Yellow Bald,https://www.peakbagger.com/peak.aspx?pid=26144,5240,1000,5,2023-04-24,,NC,main
Cold,https://www.peakbagger.com/peak.aspx?pid=7837,6030,990,6.8,2023-05-27,,NC,main
Black Balsam Knob,https://www.peakbagger.com/peak.aspx?pid=7844,6214,989,11.1,2023-04-15,,NC,main
Bunches Bald,https://www.peakbagger.com/peak.aspx?pid=18551,5480,984,5,2023-05-26,,NC,main
Rich Bald,https://www.peakbagger.com/peak.aspx?pid=7804,5372,932,1.9,2023-03-29,,NC,main
Hump,https://www.peakbagger.com/peak.aspx?pid=18560,5587,907,6.9,2023-05-20,,NC,main
Shortoff,https://www.peakbagger.com/peak.aspx?pid=18501,5000,880,3.1,2023-04-01,,NC,main
Cammerer Ridge,https://www.peakbagger.com/peak.aspx?pid=7770,5042,800,3.4,2023-04-13,,NC/TN,main
Trayfoot,https://www.peakbagger.com/peak.aspx?pid=7675,3374,775,7.5,2023-06-27,,VA,main
North Marshall,https://www.peakbagger.com/peak.aspx?pid=7650,3368,768,6,2023-06-29,,VA,main
Green Knob,https://www.peakbagger.com/peak.aspx?pid=18507,5080,760,4,2023-05-10,,NC,main
Hardy,https://www.peakbagger.com/peak.aspx?pid=7846,6120,760,5.4,2023-04-16,,NC,main
Rich Knob,https://www.peakbagger.com/peak.aspx?pid=29457,4247,735,15.2,2023-06-18,,TN,main
Meneka Peak,https://www.peakbagger.com/peak.aspx?pid=59581,2393,733,15.3,2023-06-29,,VA,main
High Rocks,https://www.peakbagger.com/peak.aspx?pid=7767,5190,710,7.7,2023-06-12,,NC,main
Gaudineer Knob,https://www.peakbagger.com/peak.aspx?pid=7371,4440,680,2.8,2023-07-03,,WV,main
High Knob,https://www.peakbagger.com/peak.aspx?pid=31496,4080,680,5.3,2023-07-01,,VA/WV,main
Big Butt,https://www.peakbagger.com/peak.aspx?pid=18570,5920,680,4.6,2023-05-18,,NC,main
Highcock Knob,https://www.peakbagger.com/peak.aspx?pid=29753,3073,673,2.1,2023-06-23,,VA,main
Sterling,https://www.peakbagger.com/peak.aspx?pid=7786,5842,663,4.5,2023-04-11,,NC,main
Yellow,https://www.peakbagger.com/peak.aspx?pid=18498,5000,659,1.9,2023-04-23,,NC,main
Kephart,https://www.peakbagger.com/peak.aspx?pid=7784,6217,657,4.3,2023-06-15,,NC/TN,main
Stony Man,https://www.peakbagger.com/peak.aspx?pid=7657,4011,651,5.1,2023-06-28,,VA,main
The Pinnacle,https://www.peakbagger.com/peak.aspx?pid=7656,3730,650,4.6,2023-06-29,,VA,main
Grassy Ridge Bald,https://www.peakbagger.com/peak.aspx?pid=7807,6160,648,3.7,2023-05-11,,NC,main
Big Cataloochee,https://www.peakbagger.com/peak.aspx?pid=7790,6155,635,4.2,2023-04-12,,NC,main
Pass,https://www.peakbagger.com/peak.aspx?pid=25699,3052,612,3.4,2023-06-29,,VA,main
Chestnut Ridge,https://www.peakbagger.com/peak.aspx?pid=7611,4409,609,2.4,2023-05-03,,VA,main
Celo Knob,https://www.peakbagger.com/peak.aspx?pid=7812,6327,607,5.6,2023-05-18,,NC,main
Lane Pinnacle,https://www.peakbagger.com/peak.aspx?pid=18530,5230,590,2.5,2023-05-09,,NC,main
Cow Knob,https://www.peakbagger.com/peak.aspx?pid=31497,4036,585,15.3,2023-06-30,,VA/WV,main
Nettle Creek Bald,https://www.peakbagger.com/peak.aspx?pid=18521,5160,578,5.7,2023-04-02,,NC,main
Chapman,https://www.peakbagger.com/peak.aspx?pid=7776,6417,577,2.1,2023-06-14,,NC/TN,main
Hazeltop,https://www.peakbagger.com/peak.aspx?pid=7665,3812,572,3.1,2023-06-28,,VA,main
Little House,https://www.peakbagger.com/peak.aspx?pid=32018,3380,560,1.4,2023-07-02,,VA,main
Blue Knob,https://www.peakbagger.com/peak.aspx?pid=18497,5000,560,1.8,2023-05-14,,NC,main
Newton Bald,https://www.peakbagger.com/peak.aspx?pid=7766,5160,560,8.2,2023-04-02,,NC,main
Green Knob,https://www.peakbagger.com/peak.aspx?pid=18505,5056,523,3,2023-04-16,,NC,main
Pilot,https://www.peakbagger.com/peak.aspx?pid=18511,5080,521,3.1,2023-04-20,,NC,main
Steestachee Bald,https://www.peakbagger.com/peak.aspx?pid=26075,5680,520,3.8,2023-04-19,,NC,main
Little Bald Knob,https://www.peakbagger.com/peak.aspx?pid=26077,5640,512,5.3,2023-05-26,,NC,main
North Eaglenest,https://www.peakbagger.com/peak.aspx?pid=26096,5071,511,4,2023-04-17,,NC,main
Little Crease,https://www.peakbagger.com/peak.aspx?pid=59485,2265,505,6.6,2023-06-30,,VA,main
Rough Butt Bald,https://www.peakbagger.com/peak.aspx?pid=18572,5920,480,3.4,2023-04-19,,NC,main
Sandymush Bald,https://www.peakbagger.com/peak.aspx?pid=7829,5152,472,4.3,2023-04-10,,NC,main
Cosby Knob,https://www.peakbagger.com/peak.aspx?pid=7771,5160,466,2.8,2023-04-13,,NC/TN,main
The Pinnacle,https://www.peakbagger.com/peak.aspx?pid=7714,5665,465,2.7,2023-05-10,,NC,main
Collins,https://www.peakbagger.com/peak.aspx?pid=7759,6188,465,2.3,2023-04-04,,NC/TN,main
Little Hump,https://www.peakbagger.com/peak.aspx?pid=18634,5440,440,2.1,2023-05-20,,NC/TN,main
Blackstock Knob,https://www.peakbagger.com/peak.aspx?pid=7825,6320,440,2.6,2023-05-18,,NC,main
High Rocks,https://www.peakbagger.com/peak.aspx?pid=27816,4280,440,1.9,2023-05-12,,NC,main
Snowball,https://www.peakbagger.com/peak.aspx?pid=18540,5360,440,1.7,2023-05-10,,NC,main
Meadow,https://www.peakbagger.com/peak.aspx?pid=60936,3196,436,1.7,2023-06-26,,VA,main
Laurel Top,https://www.peakbagger.com/peak.aspx?pid=7779,5907,427,4.6,2023-06-15,,NC/TN,main
Potts,https://www.peakbagger.com/peak.aspx?pid=32152,4128,408,5.8,2023-06-22,,VA,main
Holston High Knob,https://www.peakbagger.com/peak.aspx?pid=31945,4160,400,2.8,2023-06-18,,TN,main
Buck Knob,https://www.peakbagger.com/peak.aspx?pid=26078,5600,400,1.7,2023-05-26,,NC,main
Gibbes,https://www.peakbagger.com/peak.aspx?pid=7824,6520,400,3.3,2023-05-18,,NC,main
Haw Orchard,https://www.peakbagger.com/peak.aspx?pid=18591,5080,400,2.2,2023-05-05,,VA,main
Rocky Bald,https://www.peakbagger.com/peak.aspx?pid=18537,5320,400,1.8,2023-04-21,,NC,main
Blue Knob,https://www.peakbagger.com/peak.aspx?pid=106554,4383,383,2.4,2023-07-03,,WV,main
Plott Balsam,https://www.peakbagger.com/peak.aspx?pid=7830,6088,368,2.6,2023-04-18,,NC,main
Balsam Cone,https://www.peakbagger.com/peak.aspx?pid=7819,6600,360,1.4,2023-05-18,,NC,main
Lyn Lowry,https://www.peakbagger.com/peak.aspx?pid=7832,6240,360,2.4,2023-04-18,,NC,main
Fryingpan,https://www.peakbagger.com/peak.aspx?pid=18538,5320,360,3.6,2023-04-16,,NC,main
Sam Knob,https://www.peakbagger.com/peak.aspx?pid=7843,6040,360,1.6,2023-04-15,,NC,main
Point Misery,https://www.peakbagger.com/peak.aspx?pid=18564,5715,355,1.9,2023-05-18,,NC,main
Davis,https://www.peakbagger.com/peak.aspx?pid=18628,5040,350,2.2,2023-06-07,,NC/TN,main
Whim Knob,https://www.peakbagger.com/peak.aspx?pid=26081,5501,341,1.2,2023-05-26,,NC,main
Brier Knob,https://www.peakbagger.com/peak.aspx?pid=18630,5215,335,1.9,2023-06-07,,NC/TN,main
Eagle Rocks,https://www.peakbagger.com/peak.aspx?pid=18639,5849,329,1.5,2023-06-14,,NC/TN,main
Grassy Cove Top,https://www.peakbagger.com/peak.aspx?pid=7841,6040,320,2,2023-04-15,,NC,main
Luftee Knob,https://www.peakbagger.com/peak.aspx?pid=7789,6234,314,3.6,2023-04-12,,NC,main
Yellow Face,https://www.peakbagger.com/peak.aspx?pid=7834,6032,312,1.7,2023-04-17,,NC,main
Craig,https://www.peakbagger.com/peak.aspx?pid=7821,6647,287,1.4,2023-05-18,https://www.peakbagger.com/climber/ascent.aspx?aid=2194401,NC,main
Winter Star,https://www.peakbagger.com/peak.aspx?pid=7815,6203,283,1.6,2023-05-18,,NC,main
Marks Knob,https://www.peakbagger.com/peak.aspx?pid=7777,6169,249,1.6,2023-04-12,,NC,main
Shining Rock,https://www.peakbagger.com/peak.aspx?pid=7838,6000,240,2.1,2023-04-15,,NC,main
Yonaguska,https://www.peakbagger.com/peak.aspx?pid=7787,6178,218,0.7,2023-04-13,,NC,main
Reinhart Knob,https://www.peakbagger.com/peak.aspx?pid=7840,6080,200,1.6,2023-04-19,,NC,main
Old Black,https://www.peakbagger.com/peak.aspx?pid=7772,6370,170,0.7,2023-04-13,,NC/TN,main
Sequoyah,https://www.peakbagger.com/peak.aspx?pid=7778,6003,163,1,2023-06-14,,NC/TN,main
Chestnut Bald,https://www.peakbagger.com/peak.aspx?pid=7845,6000,160,2.1,2023-04-16,,NC,main
Roan High Bluff,https://www.peakbagger.com/peak.aspx?pid=7808,6267,147,2.4,2023-03-26,,NC,main
Hallback,https://www.peakbagger.com/peak.aspx?pid=7823,6329,129,0.1,2023-05-18,,NC,main
Cattail,https://www.peakbagger.com/peak.aspx?pid=7818,6600,120,2.4,2023-05-18,,NC,main
Gibbs,https://www.peakbagger.com/peak.aspx?pid=7814,6200,120,1.2,2023-05-18,,NC,main
Tennent,https://www.peakbagger.com/peak.aspx?pid=7842,6040,120,0.7,2023-04-15,,NC,main
Cold Spring Knob,https://www.peakbagger.com/peak.aspx?pid=7760,5200,320,2.8,2023-04-05,,NC/TN,subs
Locust,https://www.peakbagger.com/peak.aspx?pid=32001,3900,280,0.8,2023-06-20,,VA,subs
Brushy,https://www.peakbagger.com/peak.aspx?pid=32187,3840,280,1,2023-06-20,,VA,subs
Little Bald,https://www.peakbagger.com/peak.aspx?pid=18631,5200,280,2.2,2023-05-12,,NC/TN,subs
Sugarland - Middle Peak,https://www.peakbagger.com/peak.aspx?pid=18633,5360,280,0.9,2023-04-04,,TN,subs
Porters - False Peak,https://www.peakbagger.com/peak.aspx?pid=18636,5572,252,1.9,2023-06-14,,NC/TN,subs
Silers Bald,https://www.peakbagger.com/peak.aspx?pid=7762,5607,247,2.3,2023-04-05,,NC/TN,subs
Balsam High Top,https://www.peakbagger.com/peak.aspx?pid=7793,5720,240,1,2023-04-12,,NC,subs
Attic Window Peak,https://www.peakbagger.com/peak.aspx?pid=7709,5880,240,1.2,2023-03-27,,NC,subs
Timber Ridge,https://www.peakbagger.com/peak.aspx?pid=18479,4760,200,0.8,2023-05-30,,NC,subs
Yellow Spot,https://www.peakbagger.com/peak.aspx?pid=18513,5080,200,1.5,2023-03-25,,NC,subs
MacRae Peak,https://www.peakbagger.com/peak.aspx?pid=7710,5846,166,0.2,2023-03-27,,NC,subs
Round Bald,https://www.peakbagger.com/peak.aspx?pid=18638,5800,160,1,2023-05-11,,NC/TN,subs
South Balsam Beartown,https://www.peakbagger.com/peak.aspx?pid=18586,4280,160,1.3,2023-05-03,,VA,subs
Beech - East Summit,https://www.peakbagger.com/peak.aspx?pid=18523,5160,160,1.9,2023-03-26,,NC,subs
Hooper Bald,https://www.peakbagger.com/peak.aspx?pid=18545,5429,149,1.3,2023-06-05,,NC,subs
Brush Fence Ridge,https://www.peakbagger.com/peak.aspx?pid=28409,5480,120,0.7,2023-05-18,,NC,subs
Bee,https://www.peakbagger.com/peak.aspx?pid=29897,3034,114,0.5,2023-06-27,,VA,subs
Ravens Call,https://www.peakbagger.com/peak.aspx?pid=-103681,5174,112,0.1,2023-05-09,,NC,subs
Jenkins Knob,https://www.peakbagger.com/peak.aspx?pid=7763,5560,53,0.4,2023-04-05,,NC/TN,subs
Little Butt,https://www.peakbagger.com/peak.aspx?pid=28408,5600,40,0.5,2023-05-18,,NC,subs
